Path	Group	Dataset	WBM hltPrescale(9.5e33)	Steam hltPrescale	Wbm Count	Steam Count	Data Rate (Hz)			Steam Rate (Hz)			abs(Data-Steam)(Hz)	Bias : (data-steam)/max(data;steam)			Pull	
HLT_Ele27_WPTight_Gsf_L1JetTauSeeded	EGM	OnlineMonitor,SingleElectron	1	1	8690	16	1.63	+/-	0.02	1.12	+/-	0.28	0.50748	31.13%	+/-	11.90%	1.81	Pull looks fine (bias >20%, Pull <2)
HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1	HIG,TAU. EXO	OnlineMonitor,SingleMuon	1	1	15561	55	2.92	+/-	0.02	3.86	+/-	0.52	0.93866	24.33%	+/-	10.22%	1.80	Pull looks fine (bias >20%, Pull <2)
HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL	EXO	OnlineMonitor,MuonEG	1	1	13614	27	2.55	+/-	0.02	1.89	+/-	0.36	0.65575	25.72%	+/-	10.65%	1.80	Pull looks fine (bias >20%, Pull <2)
HLT_MET250	PPD	OnlineMonitor,MET	1	1	10057	19	1.88	+/-	0.02	1.33	+/-	0.31	0.54701	29.10%	+/-	11.58%	1.79	Pull looks fine (bias >20%, Pull <2)
HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL	EXO	OnlineMonitor,MuonEG	1	1	8141	15	1.53	+/-	0.02	1.05	+/-	0.27	0.47764	31.22%	+/-	12.27%	1.76	Pull looks fine (bias >20%, Pull <2)
HLT_Ele50_IsoVVVL_PFHT400	SUS	OnlineMonitor,SingleElectron	1	1	17823	37	3.34	+/-	0.03	2.6	+/-	0.43	0.74417	22.28%	+/-	9.96%	1.74	Pull looks fine (bias >20%, Pull <2)
HLT_IsoMu21_eta2p1_LooseIsoPFTau50_Trk30_eta2p1_SingleL1	HIG,TAU. EXO	OnlineMonitor,SingleMuon	1	1	18392	63	3.45	+/-	0.03	4.42	+/-	0.56	0.96992	21.94%	+/-	9.85%	1.74	Pull looks fine (bias >20%, Pull <2)
HLT_Mu25_TkMu0_dEta18_Onia	BPH	OnlineMonitor,MuOnia	1	1	20326	43	3.81	+/-	0.03	3.02	+/-	0.46	0.79323	20.82%	+/-	9.59%	1.72	Pull looks fine (bias >20%, Pull <2)
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120	HIG,TAU. EXO	OnlineMonitor,Tau	1	1	9977	37	1.87	+/-	0.02	2.6	+/-	0.43	0.72583	27.96%	+/-	11.87%	1.70	Pull looks fine (bias >20%, Pull <2)
HLT_DiPFJetAve160_HFJEC	FSQ,JME	OnlineMonitor,JetHT	3	3	2052	11	0.38	+/-	0.01	0.26	+/-	0.08	0.12276	32.30%	+/-	13.99%	1.58	Pull looks fine (bias >20%, Pull <2)
HLT_JetE50_NoBPTX3BX	EXO	OnlineMonitor,NoBPTX	1	1	6428	25	1.2	+/-	0.01	1.75	+/-	0.35	0.55394	31.58%	+/-	13.71%	1.58	Pull looks fine (bias >20%, Pull <2)
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL	EXO	OnlineMonitor,MuonEG	1	1	5598	10	1.05	+/-	0.01	0.7	+/-	0.22	0.34843	33.18%	+/-	14.18%	1.57	Pull looks fine (bias >20%, Pull <2)
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30	SUS	OnlineMonitor,DoubleEG	1	1	8751	17	1.64	+/-	0.02	1.19	+/-	0.29	0.44732	27.28%	+/-	12.87%	1.55	Pull looks fine (bias >20%, Pull <2)
HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF	HIG	OnlineMonitor,SinglePhoton	2	2	3682	14	0.69	+/-	0.01	0.49	+/-	0.13	0.1989	28.83%	+/-	13.64%	1.52	Pull looks fine (bias >20%, Pull <2)
HLT_PFHT125	SUS	OnlineMonitor,JetHT	1	1	9500	34	1.78	+/-	0.02	2.39	+/-	0.41	0.60535	25.38%	+/-	12.82%	1.48	Pull looks fine (bias >20%, Pull <2)
HLT_Rsq0p30	SUS	OnlineMonitor,HTMHT	1	1	3911	16	0.73	+/-	0.01	1.12	+/-	0.28	0.39252	34.97%	+/-	16.29%	1.40	Pull looks fine (bias >20%, Pull <2)
HLT_JetE70_NoBPTX3BX	EXO	OnlineMonitor,NoBPTX	1	1	3048	13	0.57	+/-	0.01	0.91	+/-	0.25	0.34205	37.50%	+/-	17.37%	1.35	Pull looks fine (bias >20%, Pull <2)
HLT_DoublePhoton85	Egamma,EXO	OnlineMonitor,EventDisplay,DoubleEG	1	1	7124	14	1.33	+/-	0.02	0.98	+/-	0.26	0.3478	26.15%	+/-	14.62%	1.32	Pull looks fine (bias >20%, Pull <2)
HLT_Dimuon6_Jpsi_NoVertexing	BPH	OnlineMonitor,Charmonium	1	1	5620	21	1.05	+/-	0.01	1.47	+/-	0.32	0.42331	28.73%	+/-	15.58%	1.32	Pull looks fine (bias >20%, Pull <2)
HLT_DoubleMu23NoFiltersNoVtxDisplaced	EXO	OnlineMonitor,DoubleMuon	1	1	4436	17	0.83	+/-	0.01	1.19	+/-	0.29	0.36268	30.41%	+/-	16.91%	1.25	Pull looks fine (bias >20%, Pull <2)
HLT_PFHT200	SUS	OnlineMonitor,JetHT	1	1	7826	16	1.47	+/-	0.02	1.12	+/-	0.28	0.34748	23.64%	+/-	14.62%	1.24	Pull looks fine (bias >20%, Pull <2)
HLT_VBF_DisplacedJet40_VVTightID_Hadronic	EXO	OnlineMonitor,DisplacedJet	1	1	10039	34	1.88	+/-	0.02	2.39	+/-	0.41	0.50535	21.19%	+/-	13.54%	1.24	Pull looks fine (bias >20%, Pull <2)
HLT_Mu8_DiEle12_CaloIdL_TrackIdL	HIG	OnlineMonitor,MuonEG	1	1	8042	28	1.51	+/-	0.02	1.96	+/-	0.37	0.45441	23.13%	+/-	14.55%	1.22	Pull looks fine (bias >20%, Pull <2)
HLT_DiPFJetAve140	JME	OnlineMonitor,JetHT	3	3	3279	33	0.61	+/-	0.01	0.77	+/-	0.13	0.16173	20.96%	+/-	13.83%	1.20	Pull looks fine (bias >20%, Pull <2)
HLT_QuadMuon0_Dimuon0_Jpsi	BPH	OnlineMonitor,Charmonium	1	1	2051	9	0.38	+/-	0.01	0.63	+/-	0.21	0.25142	39.82%	+/-	20.10%	1.19	Pull looks fine (bias >20%, Pull <2)
HLT_MET75_IsoTrk50	EXO	OnlineMonitor,MET	1	1	5160	19	0.97	+/-	0.01	1.33	+/-	0.31	0.36299	27.23%	+/-	16.72%	1.19	Pull looks fine (bias >20%, Pull <2)
HLT_MET90_IsoTrk50	EXO	OnlineMonitor,MET	1	1	3608	14	0.68	+/-	0.01	0.98	+/-	0.26	0.3022	30.77%	+/-	18.54%	1.15	Pull looks fine (bias >20%, Pull <2)
HLT_Mu7p5_Track7_Jpsi	BPH	OnlineMonitor,Charmonium	3	3	1141	13	0.21	+/-	0.01	0.3	+/-	0.08	0.09402	30.92%	+/-	19.27%	1.12	Pull looks fine (bias >20%, Pull <2)
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ	HIG	OnlineMonitor,MuonEG	1	1	7204	15	1.35	+/-	0.02	1.05	+/-	0.27	0.29764	22.05%	+/-	15.73%	1.10	Pull looks fine (bias >20%, Pull <2)
HLT_DiPFJetAve300_HFJEC	FSQ,JME	OnlineMonitor,JetHT	1	1	2465	10	0.46	+/-	0.01	0.7	+/-	0.22	0.24157	34.43%	+/-	20.78%	1.09	Pull looks fine (bias >20%, Pull <2)
HLT_Mu7p5_Track3p5_Jpsi	BPH	OnlineMonitor,Charmonium	3	3	2471	25	0.46	+/-	0.01	0.58	+/-	0.12	0.12465	21.32%	+/-	15.82%	1.07	Pull looks fine (bias >20%, Pull <2)
